season,INNING,INNING_TB,HOME_AWAY,RUNNER_STATE,OUT_COUNT,UNDER_4,UNDER_3,UNDER_2,UNDER_1,TIED,UPPER_1,UPPER_2,UPPER_3,UPPER_4
2025,5,1,home,6,1,1.82,2.21,2.45,2.36,2.02,1.52,1.07,0.71,0.38
2025,5,1,home,7,1,2.56,3.04,3.28,3.12,2.62,1.95,1.35,0.88,0.48
2025,5,1,home,0,2,0.28,0.39,0.5,0.57,0.52,0.39,0.28,0.18,0.13
2025,5,1,home,1,2,0.67,0.92,1.14,1.26,1.13,0.84,0.6,0.4,0.25
2025,5,1,home,2,2,0.87,1.2,1.53,1.76,1.62,1.23,0.88,0.59,0.38
2025,5,1,home,3,2,1.39,1.85,2.25,2.44,2.17,1.62,1.15,0.75,0.47
2025,5,1,home,4,2,0.93,1.29,1.65,1.92,1.8,1.36,0.98,0.67,0.43
2025,5,1,home,5,2,1.42,1.91,2.33,2.54,2.27,1.7,1.21,0.8,0.5
2025,5,1,home,6,2,1.72,2.31,2.84,3.05,2.67,1.99,1.41,0.93,0.51
2025,5,1,home,7,2,2.72,3.5,4.1,4.27,3.69,2.74,1.91,1.25,0.69
2025,6,0,away,0,0,0.7,0.97,1.23,1.4,1.31,1.0,0.72,0.49,0.31
2025,6,0,away,1,0,1.22,1.62,1.99,2.17,1.94,1.46,1.04,0.69,0.43
2025,6,0,away,2,0,1.1,1.44,1.73,1.82,1.58,1.19,0.84,0.55,0.34
2025,6,0,away,3,0,1.91,2.43,2.77,2.78,2.37,1.76,1.22,0.8,0.48
2025,6,0,away,4,0,1.19,1.56,1.85,1.89,1.59,1.18,0.82,0.54,0.33
2025,6,0,away,5,0,1.71,2.14,2.4,2.26,1.8,1.31,0.9,0.58,0.34
2025,6,0,away,6,0,1.51,1.83,1.94,1.74,1.4,1.03,0.71,0.46,0.25
2025,6,0,away,7,0,2.91,3.41,3.58,3.24,2.56,1.84,1.25,0.78,0.43
2025,6,0,away,0,1,0.47,0.66,0.88,1.03,0.97,0.75,0.53,0.36,0.25
2025,6,0,away,1,1,0.9,1.27,1.63,1.86,1.72,1.3,0.94,0.63,0.39
2025,6,0,away,2,1,0.96,1.35,1.73,2.01,1.87,1.42,1.02,0.69,0.43
2025,6,0,away,3,1,1.61,2.18,2.69,2.96,2.66,2.0,1.43,0.94,0.58
2025,6,0,away,4,1,0.91,1.25,1.6,1.95,1.92,1.49,1.08,0.73,0.47
2025,6,0,away,5,1,1.47,1.96,2.37,2.53,2.38,1.82,1.31,0.88,0.54
2025,6,0,away,6,1,1.62,2.14,2.56,2.62,2.29,1.76,1.25,0.86,0.45
2025,6,0,away,7,1,2.34,2.97,3.43,3.46,2.99,2.24,1.59,1.05,0.58
2025,6,0,away,0,2,0.22,0.33,0.47,0.61,0.58,0.44,0.34,0.24,0.15
