# HOME_AWAY,INNING,INNING_TB,OUT_COUNT,BASE_STATE,UNDER_5,UNDER_4,UNDER_3,UNDER_2,UNDER_1,TIE,UPPER_1,UPPER_2,UPPER_3,UPPER_4,UPPER_5
A,5,0,1,23,0.124,0.186,0.269,0.373,0.492,0.612,0.72,0.806,0.871,0.916,0.947
A,5,0,1,123,0.145,0.211,0.296,0.397,0.511,0.626,0.729,0.812,0.874,0.919,0.949
A,5,0,2,0,0.052,0.086,0.138,0.212,0.314,0.445,0.582,0.701,0.794,0.864,0.913
A,5,0,2,1,0.059,0.096,0.15,0.228,0.332,0.462,0.596,0.711,0.802,0.869,0.916
A,5,0,2,2,0.063,0.101,0.159,0.24,0.347,0.477,0.61,0.722,0.81,0.875,0.92
A,5,0,2,12,0.072,0.114,0.174,0.257,0.364,0.492,0.621,0.73,0.816,0.878,0.922
A,5,0,2,3,0.064,0.104,0.162,0.245,0.353,0.484,0.615,0.726,0.813,0.877,0.922
A,5,0,2,13,0.074,0.117,0.179,0.264,0.372,0.501,0.628,0.736,0.82,0.882,0.924
A,5,0,2,23,0.078,0.123,0.188,0.275,0.383,0.509,0.635,0.741,0.823,0.884,0.926
A,5,0,2,123,0.094,0.143,0.212,0.301,0.409,0.532,0.653,0.754,0.833,0.89,0.93
A,5,0,3,0,0.048,0.079,0.128,0.2,0.3,0.431,0.57,0.691,0.787,0.859,0.91
H,5,1,0,0,0.09,0.141,0.213,0.309,0.43,0.569,0.7,0.8,0.872,0.921,0.952
H,5,1,0,1,0.118,0.178,0.259,0.362,0.484,0.616,0.735,0.825,0.888,0.931,0.959
H,5,1,0,2,0.13,0.196,0.284,0.394,0.522,0.652,0.762,0.844,0.902,0.94,0.964
H,5,1,0,12,0.165,0.239,0.333,0.444,0.565,0.684,0.785,0.859,0.911,0.946,0.968
H,5,1,0,3,0.14,0.21,0.304,0.42,0.555,0.685,0.788,0.863,0.914,0.948,0.969
H,5,1,0,13,0.177,0.257,0.358,0.476,0.603,0.72,0.813,0.88,0.925,0.955,0.973
H,5,1,0,23,0.195,0.281,0.388,0.511,0.636,0.746,0.831,0.892,0.933,0.96,0.976
H,5,1,0,123,0.234,0.324,0.431,0.547,0.662,0.764,0.843,0.9,0.938,0.963,0.978
H,5,1,1,0,0.074,0.118,0.184,0.275,0.394,0.538,0.676,0.783,0.861,0.913,0.948
H,5,1,1,1,0.091,0.143,0.215,0.312,0.433,0.572,0.702,0.801,0.873,0.921,0.953
H,5,1,1,2,0.1,0.155,0.232,0.334,0.459,0.597,0.721,0.815,0.882,0.927,0.957
H,5,1,1,12,0.121,0.183,0.265,0.368,0.489,0.62,0.737,0.826,0.889,0.932,0.959
H,5,1,1,3,0.11,0.17,0.254,0.364,0.497,0.635,0.751,0.837,0.897,0.937,0.963
H,5,1,1,13,0.133,0.2,0.289,0.4,0.528,0.658,0.767,0.847,0.904,0.941,0.965
H,5,1,1,23,0.147,0.218,0.313,0.429,0.557,0.681,0.783,0.859,0.911,0.946,0.968
H,5,1,1,123,0.17,0.246,0.341,0.452,0.573,0.691,0.79,0.863,0.914,0.947,0.969
H,5,1,2,0,0.063,0.103,0.164,0.251,0.368,0.515,0.659,0.771,0.852,0.908,0.945
H,5,1,2,1,0.071,0.114,0.179,0.269,0.387,0.532,0.672,0.78,0.858,0.912,0.947
H,5,1,2,2,0.075,0.121,0.188,0.282,0.403,0.548,0.684,0.789,0.864,0.916,0.95
H,5,1,2,12,0.086,0.135,0.206,0.301,0.42,0.561,0.694,0.795,0.869,0.919,0.951
H,5,1,2,3,0.077,0.124,0.192,0.287,0.41,0.555,0.69,0.793,0.867,0.918,0.951
